"Benchmark","Routing","Selection","Data Packet Injection Rate","ACO Selection Alpha","Reinforcement Factor","Algorithm","Max Cycles","Simulation Time (Seconds)","Throughput","Average Packet Delay","Payload Throughput","Average Payload Packet Delay"
"fluidanimate","OddEven","ACO","0.15","0.7","0.008","OddEven+ACO(0.7, 0.008)","1000","0.092020892","0.002984375","50.3717277486911","0.002484375","53.82389937106918"
"fluidanimate","OddEven","ACO","0.15","0.7","0.032","OddEven+ACO(0.7, 0.032)","1000","0.123391886","0.002984375","50.3717277486911","0.002484375","53.82389937106918"
"fluidanimate","XY","Random","0.2","0.5","0.05","XY+Random","1000","0.08645524","0.002796875","55.85474860335196","0.002796875","55.85474860335196"
"fluidanimate","OddEven","BufferLevel","0.2","0.5","0.05","OddEven+BufferLevel","1000","0.077090857","0.002921875","56.25668449197861","0.002921875","56.25668449197861"
"fluidanimate","OddEven","ACO","0.2","0.3","0.0005","OddEven+ACO(0.3, 0.0005)","1000","0.163168996","0.003703125","60.641350210970465","0.003203125","64.82926829268293"
"fluidanimate","OddEven","ACO","0.2","0.3","0.002","OddEven+ACO(0.3, 0.002)","1000","0.072608207","0.003703125","60.55696202531646","0.003203125","64.74146341463414"
"fluidanimate","OddEven","ACO","0.2","0.3","0.008","OddEven+ACO(0.3, 0.008)","1000","0.098551053","0.003703125","60.55696202531646","0.003203125","64.74146341463414"
"fluidanimate","OddEven","ACO","0.2","0.3","0.032","OddEven+ACO(0.3, 0.032)","1000","0.111691683","0.003703125","60.55696202531646","0.003203125","64.74146341463414"
"fluidanimate","OddEven","ACO","0.2","0.4","0.0005","OddEven+ACO(0.4, 0.0005)","1000","0.110955293","0.003703125","60.55696202531646","0.003203125","64.74146341463414"
"fluidanimate","OddEven","ACO","0.2","0.4","0.002","OddEven+ACO(0.4, 0.002)","1000","0.147724144","0.003703125","60.55696202531646","0.003203125","64.74146341463414"
"fluidanimate","OddEven","ACO","0.2","0.4","0.008","OddEven+ACO(0.4, 0.008)","1000","0.140576704","0.003703125","60.641350210970465","0.003203125","64.82926829268293"
"fluidanimate","OddEven","ACO","0.2","0.4","0.032","OddEven+ACO(0.4, 0.032)","1000","0.098023787","0.003703125","60.55696202531646","0.003203125","64.74146341463414"
